sample	G000008685	G000012065	G000012085	G000019685	G000019705	G000181895	G000222305	G000300045	G000304735	G000445425	G000500045	G000500065	G000500975	G000501015	G000501155	G000501215	G000501235	G000501275	G000501595	G000501615	G000501675	G000501695	G000501735	G000501755	G000501875	G000501895	G000501915	G000502095	G000523535	G000568675	G000568715	G000568735	G000568755	G000568775	G000568795	G000691545	G000714705	G000739475	G000956315	G001598195	G001660005	G001922545	G001936255
G000008685	0.0	0.17577633459464348	0.17276165040318747	0.1745304529222208	0.17432819842717817	0.07738521478077476	0.05107117778986692	0.07209914764817382	0.07129590497270022	0.178218935331392	0.18331149045246675	0.17556471639782867	0.07655358675550472	0.07560192837356527	0.07684546315125895	0.07561440798606034	0.07486917945071903	0.07653423528825065	0.0741965540877817	0.07515016852118239	0.07459698992184827	0.07396018238273394	0.07409585278228747	0.07670239072363194	0.07697616146595976	0.0745909711084829	0.07455488527960641	0.010384515454328613	0.17295265378610025	0.1753547194971926	0.17432819842717817	0.17620453797809976	0.18168135030397525	0.17642117627437204	0.1753547194971926	0.07209914764817382	0.07281296571912643	0.07355706386131045	0.1749394900626572	0.1773052906145417	0.1773052906145417	0.07305121196844144	0.1753547194971926
G000012065	0.17577633459464348	0.0	0.07853817284755027	0.12472092505054588	0.12246368056143031	0.17238357846784702	0.17392810604572706	0.16853505965765858	0.16869882182710327	0.11089601490174938	0.125068367464087	0.1258478839808308	0.17109979570532063	0.17238357846784702	0.171279568592972	0.17295265378610025	0.1735337594722245	0.17333868898960092	0.17276165040318747	0.17276165040318747	0.17373022502183444	0.17238357846784702	0.17295265378610025	0.171279568592972	0.16919601735379686	0.17276165040318747	0.17276165040318747	0.17708157002767821	0.12538470435117166	0.03495642312909675	0.12713342621586543	0.0809575122864139	0.10517844525057951	0.019173037351329913	0.034566919407265084	0.16853505965765858	0.1718260384060959	0.17257196473927572	0.0026336513129331385	0.004561714039649112	0.004598046240583131	0.17164267391763133	0.10235934638238642
G000012085	0.17276165040318747	0.07853817284755027	0.0	0.12310935772342824	0.12088001963495032	0.171279568592972	0.17257196473927572	0.16588999734008647	0.16902928866424327	0.10893474943204007	0.1235038483166111	0.12255961176923413	0.16804951852503003	0.16953252701278054	0.16902928866424327	0.170045114455863	0.1702181160447812	0.170045114455863	0.1702181160447812	0.16953252701278054	0.17074373172604929	0.17092118849713134	0.17092118849713134	0.16936375927744107	0.1682104193809394	0.16919601735379686	0.16886356086232746	0.1759895997090548	0.12376988550187895	0.08299650297889849	0.12510334424027025	0.022969335526044077	0.09877714210729704	0.08294795132518029	0.08187686917293246	0.16588999734008647	0.16869882182710327	0.16788954902778874	0.07642482708408427	0.08300460297171652	0.08283498490177621	0.16953252701278054	0.10162191972909995
G000019685	0.1745304529222208	0.12472092505054588	0.12310935772342824	0.0	0.011540174461329156	0.17164267391763133	0.17432819842717817	0.17577633459464348	0.1773052906145417	0.14121826854181152	0.10445170695444417	0.04015020362105448	0.1721964736441023	0.17238357846784702	0.17708157002767821	0.17333868898960092	0.17333868898960092	0.1741274234048088	0.17276165040318747	0.17238357846784702	0.17276165040318747	0.17620453797809976	0.1735337594722245	0.1741274234048088	0.1753547194971926	0.17577633459464348	0.1766395421267748	0.178218935331392	0.013825176971125397	0.12650181701674623	0.018809915305146863	0.12472092505054588	0.13499589173931859	0.12739760173736814	0.12624573444737508	0.17577633459464348	0.17577633459464348	0.1759895997090548	0.12420752395775414	0.12724634618312447	0.12720865672816684	0.17333868898960092	0.13392799850344206
G000019705	0.17432819842717817	0.12246368056143031	0.12088001963495032	0.011540174461329156	0.0	0.16953252701278054	0.17333868898960092	0.1721964736441023	0.17314499360718627	0.13851899981226223	0.10140585520360035	0.04158075588274446	0.16970233337439367	0.1721964736441023	0.17314499360718627	0.1718260384060959	0.17238357846784702	0.17333868898960092	0.17201063269440675	0.17164267391763133	0.17257196473927572	0.1745304529222208	0.17238357846784702	0.17092118849713134	0.1718260384060959	0.17314499360718627	0.17392810604572706	0.1768596637421287	0.014729306320797275	0.12524367934754443	0.019923417889829875	0.12327307073057225	0.13350240189436835	0.12574033051426659	0.12420752395775414	0.1721964736441023	0.17276165040318747	0.17333868898960092	0.12109228713692877	0.12549092997880074	0.12542006920150417	0.17164267391763133	0.13164005309189497
G000181895	0.07738521478077476	0.17238357846784702	0.171279568592972	0.17164267391763133	0.16953252701278054	0.0	0.07788808686986082	0.06827238826372828	0.053907118655224795	0.1749394900626572	0.18168135030397525	0.17146052270908962	0.07253195830159631	0.07044760238402858	0.07229807418648082	0.07101908559894154	0.06953887411798687	0.07203864588268816	0.06995891378449537	0.07027687256389858	0.07002528200433245	0.06952883063311432	0.06979621778697864	0.07294885808798546	0.07349333077413045	0.07057764398098154	0.07116780060075911	0.08149786681995497	0.1698731914198408	0.1745304529222208	0.16919601735379686	0.17109979570532063	0.18141890931546312	0.17556471639782867	0.17392810604572706	0.06826279321269668	0.06910036280384291	0.07018418688436923	0.17146052270908962	0.1749394900626572	0.17514631886777565	0.06958914609991851	0.17392810604572706
G000222305	0.05107117778986692	0.17392810604572706	0.17257196473927572	0.17432819842717817	0.17333868898960092	0.07788808686986082	0.0	0.07236469885094654	0.07228144279780702	0.17845219899794473	0.1844552421527602	0.17642117627437204	0.07719314553609002	0.07597874365660429	0.07817365249636965	0.07692380948810329	0.07536586091357744	0.0772195603112289	0.07520547453518767	0.07612453655155627	0.07552094545790344	0.07515016852118239	0.0747115930110247	0.07757859896697028	0.07796938320887814	0.07565188004742696	0.07582112416150133	0.05625821271904052	0.17276165040318747	0.17708157002767821	0.1741274234048088	0.17473420919524163	0.17892478797833045	0.1759895997090548	0.1766395421267748	0.07235914072799365	0.07359188852759035	0.07427380543832907	0.1718260384060959	0.1768596637421287	0.17642117627437204	0.07362675650164574	0.17753085588215212
G000300045	0.07209914764817382	0.16853505965765858	0.16588999734008647	0.17577633459464348	0.1721964736441023	0.06827238826372828	0.07236469885094654	0.0	0.05672763664383618	0.1745304529222208	0.17845219899794473	0.17514631886777565	0.026088889153757622	0.025232518311941177	0.02797342755592458	0.02641565522419176	0.025763838589886956	0.02719367730395783	0.025118976242886615	0.025877619827772702	0.025156200836940035	0.02514709516103908	0.02517525323532588	0.02667889298927706	0.027758127840165403	0.024959277576082184	0.025322476995107812	0.07565813024241308	0.1749394900626572	0.17257196473927572	0.17620453797809976	0.16725876991087307	0.178218935331392	0.17201063269440675	0.17164267391763133	1.5979479447092437e-05	0.02251403483786263	0.060949154884547	0.1675723607907451	0.17314499360718627	0.17314499360718627	0.023516929551628096	0.17092118849713134
G000304735	0.07129590497270022	0.16869882182710327	0.16902928866424327	0.1773052906145417	0.17314499360718627	0.053907118655224795	0.07228144279780702	0.05672763664383618	0.0	0.17276165040318747	0.18014334273862942	0.1759895997090548	0.06371439837766024	0.0634554589432319	0.0657300374629709	0.06425634563936988	0.06351189227589715	0.06501737420883869	0.06310338564674356	0.06356035682161654	0.06327885371191022	0.0629764788292233	0.06283441229557374	0.06432692966869136	0.06531314838358504	0.06257976735147053	0.06283441229557374	0.07432741192236736	0.1768596637421287	0.1721964736441023	0.17642117627437204	0.16886356086232746	0.18039372454331148	0.171279568592972	0.171279568592972	0.056733910242359076	0.06048683434160085	0.06154309497317967	0.16804951852503003	0.17201063269440675	0.1718260384060959	0.06126677603044972	0.171279568592972
G000445425	0.178218935331392	0.11089601490174938	0.10893474943204007	0.14121826854181152	0.13851899981226223	0.1749394900626572	0.17845219899794473	0.1745304529222208	0.17276165040318747	0.0	0.14140355380252567	0.14247700921713735	0.17708157002767821	0.1779876458729147	0.1768596637421287	0.1773052906145417	0.17868747139862406	0.17892478797833045	0.17775829698374046	0.1779876458729147	0.178218935331392	0.17775829698374046	0.1779876458729147	0.1766395421267748	0.17577633459464348	0.1773052906145417	0.17708157002767821	0.18014334273862942	0.14177779625794862	0.1140058822838822	0.14228459757007206	0.1109173856256005	0.1282440919176605	0.11502302854483226	0.11293156070495436	0.17432819842717817	0.1773052906145417	0.17164267391763133	0.10899468824010539	0.1143891460235289	0.11429285127049027	0.1768596637421287	0.12255961176923413
