sample	G000024125	G000153165	G000173115	G000186265	G000190595	G000220585	G000224085	G000382125	G000424985	G000429545	G000468615	G000621125	G000733925	G000744105	G000744555	G000745185	G000799565	G000963865	G000973105	G001020565	G001306415	G001413955	G001430825	G001438225	G001438245	G001439215	G001447995	G001683915	G001748465	G001865655	G900101815	G900105105	G900105545	G900112295	G900115205	G900129275	G900129665	G900141855	G900141935	G900142405	G900155985
G001306415	0.2540646815797966	0.23928233383173397	0.25032739712314855	0.24589551138481144	0.24104708882695847	0.23300324593415367	0.2289431643637843	0.24804110220606163	0.2515292739222348	0.2630036391713902	0.24589551138481144	0.24196423501054654	0.24916552656629032	0.23522688451442308	0.2376028938731073	0.23600095160808876	0.2376028938731073	0.23843246437889046	0.24104708882695847	0.23522688451442308	0.0	0.22831048438203644	0.24015351274755414	0.33343389338094487	0.29765825173925414	0.29765825173925414	0.23679268185685898	0.24487030299906193	0.24695180159311642	0.18155944881189504	0.24589551138481144	0.23372872630823713	0.179241183215247	0.23843246437889046	0.2540646815797966	0.25032739712314855	0.23679268185685898	0.23300324593415367	0.27271525557875004	0.23843246437889046	0.2376028938731073
G001413955	0.2515292739222348	0.23446971505431574	0.25032739712314855	0.24804110220606163	0.25277398811388824	0.23446971505431574	0.21626133018981913	0.24387441170917884	0.25032739712314855	0.26134636238934894	0.24695180159311642	0.24196423501054654	0.24589551138481144	0.24196423501054654	0.24196423501054654	0.21132769340249682	0.24196423501054654	0.23928233383173397	0.24196423501054654	0.23679268185685898	0.22831048438203644	0.0	0.23843246437889046	0.28959844070349505	0.28303432754927754	0.277499188555449	0.24290621861234085	0.21210232545858787	0.24804110220606163	0.24015351274755414	0.24487030299906193	0.24290621861234085	0.24387441170917884	0.2171570866000881	0.24916552656629032	0.25032739712314855	0.19762297210752885	0.24015351274755414	0.27502618126225475	0.2171570866000881	0.24104708882695847
G001430825	0.2515292739222348	0.227078825202033	0.23522688451442308	0.22099307680134495	0.22831048438203644	0.24104708882695847	0.24804110220606163	0.24196423501054654	0.23446971505431574	0.23679268185685898	0.2220227138632897	0.23372872630823713	0.2180767794805969	0.23372872630823713	0.23300324593415367	0.24804110220606163	0.21950408193110527	0.24916552656629032	0.23843246437889046	0.23679268185685898	0.24015351274755414	0.23843246437889046	0.0	0.2801585303255706	0.27271525557875004	0.259763879839835	0.23300324593415367	0.2515292739222348	0.21854600549525616	0.2322926425508592	0.24589551138481144	0.2315963224805665	0.2322926425508592	0.24695180159311642	0.24589551138481144	0.22099307680134495	0.24290621861234085	0.2376028938731073	0.23372872630823713	0.24695180159311642	0.2322926425508592
G001438225	0.31472969111881766	0.29340041528679317	0.01419438393760785	0.29765825173925414	0.25824977450996206	0.29765825173925414	0.31472969111881766	0.28959844070349505	0.28959844070349505	0.30249514835156255	0.2685038067179094	0.30249514835156255	0.2801585303255706	0.2801585303255706	0.3080919373980072	0.30249514835156255	0.28616462609015925	0.33343389338094487	0.3080919373980072	0.28616462609015925	0.33343389338094487	0.28959844070349505	0.2801585303255706	0.0	0.007224224707735641	0.0057115922286223265	0.28616462609015925	0.32288073361947145	0.2801585303255706	0.28616462609015925	0.33343389338094487	0.28303432754927754	0.28616462609015925	0.3483947822667267	0.32288073361947145	0.2801585303255706	0.30249514835156255	0.3483947822667267	0.28303432754927754	0.3483947822667267	0.28616462609015925
G001438245	0.29765825173925414	0.27502618126225475	0.01652028680086755	0.28616462609015925	0.25277398811388824	0.28303432754927754	0.29765825173925414	0.29340041528679317	0.28959844070349505	0.31472969111881766	0.2685038067179094	0.28616462609015925	0.2801585303255706	0.2801585303255706	0.29340041528679317	0.3080919373980072	0.27271525557875004	0.32288073361947145	0.29765825173925414	0.28303432754927754	0.29765825173925414	0.28303432754927754	0.27271525557875004	0.007224224707735641	0.0	0.007539576697846511	0.28303432754927754	0.31472969111881766	0.2801585303255706	0.28303432754927754	0.31472969111881766	0.2801585303255706	0.28303432754927754	0.32288073361947145	0.30249514835156255	0.28616462609015925	0.29340041528679317	0.31472969111881766	0.277499188555449	0.32288073361947145	0.28303432754927754
G001439215	0.29340041528679317	0.2705465964056736	0.015473704375281946	0.27271525557875004	0.24916552656629032	0.2801585303255706	0.29765825173925414	0.24387441170917884	0.277499188555449	0.2801585303255706	0.25824977450996206	0.2685038067179094	0.2685038067179094	0.2685038067179094	0.2801585303255706	0.29340041528679317	0.26134636238934894	0.30249514835156255	0.24804110220606163	0.27502618126225475	0.29765825173925414	0.277499188555449	0.259763879839835	0.0057115922286223265	0.007539576697846511	0.0	0.27502618126225475	0.3080919373980072	0.2685038067179094	0.27502618126225475	0.29765825173925414	0.27271525557875004	0.27502618126225475	0.32288073361947145	0.29765825173925414	0.2685038067179094	0.29340041528679317	0.30249514835156255	0.2630036391713902	0.32288073361947145	0.27271525557875004
G001447995	0.2540646815797966	0.21999330029530456	0.24015351274755414	0.22894316436378453	0.2264790698474739	0.24290621861234085	0.25032739712314855	0.24196423501054654	0.24290621861234085	0.2540646815797966	0.227078825202033	0.22048956381833013	0.24104708882695847	0.13482926631426362	0.22254929370197335	0.2554048540682841	0.2322926425508592	0.24916552656629032	0.23446971505431574	0.20472868339550943	0.23679268185685898	0.24290621861234085	0.23300324593415367	0.28616462609015925	0.28303432754927754	0.27502618126225475	0.0	0.2630036391713902	0.24015351274755414	0.02042685360196964	0.24015351274755414	0.019400569555087503	0.019513568151669325	0.2554048540682841	0.2515292739222348	0.23928233383173397	0.24916552656629032	0.23372872630823713	0.25679841961194677	0.2554048540682841	0.15293665023509118
G001683915	0.25032739712314855	0.2540646815797966	0.27502618126225475	0.2685038067179094	0.2630036391713902	0.24104708882695847	0.1481762355126993	0.2554048540682841	0.26134636238934894	0.2685038067179094	0.2705465964056736	0.2630036391713902	0.25679841961194677	0.25679841961194677	0.25824977450996206	0.09354361372317321	0.25679841961194677	0.21854600549525616	0.25032739712314855	0.24487030299906193	0.24487030299906193	0.21210232545858787	0.2515292739222348	0.32288073361947145	0.31472969111881766	0.3080919373980072	0.2630036391713902	0.0	0.26134636238934894	0.26134636238934894	0.2515292739222348	0.26134636238934894	0.26134636238934894	0.11933462281815707	0.25032739712314855	0.2665731647423279	0.2073541520755965	0.25032739712314855	0.29340041528679317	0.11933462281815707	0.2540646815797966
G001748465	0.25679841961194677	0.23522688451442308	0.24589551138481144	0.23446971505431574	0.2302443287251323	0.25679841961194677	0.2554048540682841	0.24487030299906193	0.20804320659494382	0.20910347295913106	0.23446971505431574	0.23679268185685898	0.0032518142617303	0.23600095160808876	0.23446971505431574	0.2540646815797966	0.22254929370197335	0.259763879839835	0.24104708882695847	0.23843246437889046	0.24695180159311642	0.24804110220606163	0.21854600549525616	0.2801585303255706	0.2801585303255706	0.2685038067179094	0.24015351274755414	0.26134636238934894	0.0	0.24015351274755414	0.23600095160808876	0.23928233383173397	0.24015351274755414	0.2554048540682841	0.25032739712314855	0.09960496682769854	0.2554048540682841	0.24015351274755414	0.21249629413774335	0.2554048540682841	0.23522688451442308
G001865655	0.2540646815797966	0.21950408193110527	0.24015351274755414	0.22831048438203644	0.22588954604893946	0.24387441170917884	0.2515292739222348	0.24015351274755414	0.24290621861234085	0.2554048540682841	0.22768917077641476	0.21670629388267093	0.24015351274755414	0.13328671305799045	0.22099307680134495	0.25277398811388824	0.2302443287251323	0.25032739712314855	0.23446971505431574	0.20504606829031963	0.18155944881189504	0.24015351274755414	0.2322926425508592	0.28616462609015925	0.28303432754927754	0.27502618126225475	0.02042685360196964	0.26134636238934894	0.24015351274755414	0.0	0.2376028938731073	0.018979120668668803	0.0201221538483073	0.25679841961194677	0.2515292739222348	0.24015351274755414	0.24695180159311642	0.227078825202033	0.25824977450996206	0.25679841961194677	0.1530049569657458
