sample	G000164985	G000230915	G000236805	G000245715	G000374825	G000374845	G000377505	G000378145	G000381905	G000403375	G000426545	G000455265	G000520635	G000520755	G000520775	G000520795	G000520815	G000576305	G000585395	G000686825	G000732325	G000746875	G000756615	G000758685	G000758725	G000787385	G000949425	G001012825	G001275645	G001277345	G001277855	G001373415	G001403875	G001421015	G001514495	G001632305	G001705305	G001908275	G900102085	G900102215	G900102965	G900107875	G900110315	G900116035	G900116105	G900143165
G000520775	0.0794598223555516	0.2054996839209604	0.08876575436503686	0.09283693574613383	0.2206703524694551	0.21369617331861324	0.20486684018533552	0.23023767929669992	0.22434646331744024	0.2054996839209604	0.20247656137247616	0.20965246024319817	0.21041294301092828	0.09585636005167897	0.0	0.07920354212803238	0.08771496103850784	0.20614803422095407	0.2206703524694551	0.020505969241893518	0.1914099891957548	0.20681268342427628	0.20305424423053064	0.2111960708480617	0.20247656137247616	0.21458549512565073	0.19217632301500154	0.2111960708480617	0.20305424423053064	0.21283605616404488	0.028513718646251518	0.20191117648963886	0.21041294301092828	0.21041294301092828	0.19179042750957842	0.20191117648963886	0.09101185484515872	0.1868984853325918	0.20486684018533552	0.21646034327688457	0.21283605616404488	0.1982578772270217	0.21041294301092828	0.020519674185772274	0.20819436817620252	0.1997626761158554
G000520795	0.012125506127565466	0.19777456201755517	0.10585212071245897	0.10303465783903754	0.215506110747391	0.22434646331744024	0.1997626761158554	0.23194869152907194	0.21955230011181248	0.2054996839209604	0.1972998368395683	0.20819436817620252	0.19637495390973458	0.10106956122160726	0.07920354212803238	0.0	0.10354343931409582	0.20305424423053064	0.21955230011181248	0.07931715842546017	0.2002837632246547	0.20681268342427628	0.2042487673703237	0.20749448656295377	0.21283605616404488	0.20891333007802315	0.20614803422095407	0.21369617331861324	0.20305424423053064	0.21200325796739594	0.07843452937580442	0.1982578772270217	0.20247656137247616	0.20749448656295377	0.19637495390973458	0.2002837632246547	0.10237524291120215	0.1862667075262454	0.20191117648963886	0.21848034685629747	0.1997626761158554	0.20486684018533552	0.21646034327688457	0.07933139254575383	0.20614803422095407	0.20486684018533552
G000520815	0.10329613440613472	0.2036447812310651	0.10384303019443608	0.10151368519758219	0.21283605616404488	0.21458549512565073	0.2002837632246547	0.24023901843713757	0.22306223780918022	0.1997626761158554	0.20247656137247616	0.20681268342427628	0.20247656137247616	0.09896019131135014	0.08771496103850784	0.10354343931409582	0.0	0.19777456201755517	0.21848034685629747	0.08760055034564851	0.20247656137247616	0.20965246024319817	0.19419357474022803	0.20749448656295377	0.2036447812310651	0.20819436817620252	0.1982578772270217	0.2036447812310651	0.2042487673703237	0.21369617331861324	0.08942739986545156	0.20191117648963886	0.20749448656295377	0.20819436817620252	0.19729983683956842	0.20486684018533552	0.09706072414198108	0.18331149045246675	0.20305424423053064	0.21646034327688457	0.21458549512565073	0.20819436817620252	0.20681268342427628	0.08760055034564851	0.20965246024319817	0.20819436817620252
G000576305	0.19925158384063568	0.19925158384063568	0.20191117648963886	0.2036447812310651	0.21646034327688457	0.21848034685629747	0.23194869152907194	0.22863369998608363	0.21646034327688457	0.2054996839209604	0.22863369998608363	0.20749448656295377	0.21646034327688457	0.20081525058224203	0.20614803422095407	0.20305424423053064	0.19777456201755517	0.0	0.21458549512565073	0.21646034327688457	0.1997626761158554	0.20891333007802315	0.20819436817620252	0.20614803422095407	0.19592423374223866	0.1872199929290459	0.1822139479416005	0.19029990407213082	0.19729983683956842	0.20486684018533552	0.2206703524694551	0.19637495390973458	0.2036447812310651	0.2054996839209604	0.1997626761158554	0.1982578772270217	0.2111960708480617	0.19217632301500154	0.21200325796739594	0.21646034327688457	0.2206703524694551	0.20749448656295377	0.2230622378091801	0.21369617331861324	0.21369617331861324	0.2042487673703237
G000585395	0.21283605616404488	0.20749448656295377	0.215506110747391	0.21955230011181248	0.23023767929669992	0.23575793245166765	0.23575793245166765	0.15285898399425568	0.24023901843713757	0.20486684018533552	0.2337823393886067	0.2111960708480617	0.2111960708480617	0.21646034327688457	0.2206703524694551	0.21955230011181248	0.21848034685629747	0.21458549512565073	0.0	0.23575793245166765	0.21200325796739594	0.21200325796739594	0.20749448656295377	0.20614803422095407	0.21369617331861324	0.21283605616404488	0.21848034685629747	0.21458549512565073	0.21458549512565073	0.23023767929669992	0.24281661068440852	0.20891333007802315	0.21200325796739594	0.20486684018533552	0.21458549512565073	0.2111960708480617	0.23194869152907194	0.215506110747391	0.22863369998608363	0.23575793245166765	0.2337823393886067	0.23575793245166765	0.22569785491234673	0.23023767929669992	0.22863369998608363	0.2337823393886067
G000686825	0.07906921185799254	0.215506110747391	0.09852559283170492	0.0962522461726143	0.21955230011181248	0.215506110747391	0.20305424423053064	0.23023767929669992	0.2230622378091801	0.21955230011181248	0.20081525058224203	0.21848034685629747	0.215506110747391	0.09686303411423325	0.020505969241893518	0.07931715842546017	0.08760055034564851	0.21646034327688457	0.23575793245166765	0.0	0.21200325796739594	0.215506110747391	0.20965246024319817	0.23023767929669992	0.20819436817620252	0.2206703524694551	0.1982578772270217	0.21283605616404488	0.21041294301092828	0.20965246024319817	0.03007184538970331	0.2111960708480617	0.22306223780918022	0.22569785491234673	0.19217632301500154	0.21458549512565073	0.09299725954973603	0.18854567604447092	0.2054996839209604	0.21200325796739594	0.21848034685629747	0.1982578772270217	0.2111960708480617	2.7615683128479063e-05	0.20965246024319817	0.19875010435662144
G000732325	0.19504493576192095	0.19504493576192095	0.18595626246076324	0.20135756892871604	0.21041294301092828	0.21283605616404488	0.21283605616404488	0.2337823393886067	0.21283605616404488	0.19875010435662144	0.20749448656295377	0.20614803422095407	0.215506110747391	0.1997626761158554	0.1914099891957548	0.2002837632246547	0.20247656137247616	0.1997626761158554	0.21200325796739594	0.21200325796739594	0.0	0.2036447812310651	0.2042487673703237	0.16633877667064	0.20681268342427628	0.19925158384063568	0.2054996839209604	0.20614803422095407	0.20081525058224203	0.20891333007802315	0.21283605616404488	0.1929651387025768	0.19875010435662144	0.20191117648963886	0.19637495390973458	0.1982578772270217	0.20749448656295377	0.1914099891957548	0.20135756892871604	0.21369617331861324	0.22569785491234673	0.2002837632246547	0.215506110747391	0.20819436817620252	0.0859371042744953	0.2002837632246547
G000746875	0.20305424423053064	0.17514631886777565	0.19256783715906933	0.19875010435662144	0.1745304529222208	0.22863369998608363	0.21745078613628155	0.22863369998608363	0.1914099891957548	0.1568498143377074	0.2111960708480617	0.17056741044833645	0.2036447812310651	0.20749448656295377	0.20681268342427628	0.20681268342427628	0.20965246024319817	0.20891333007802315	0.21200325796739594	0.215506110747391	0.2036447812310651	0.0	0.1997626761158554	0.19256783715906944	0.20614803422095407	0.19461587627164578	0.21200325796739594	0.21041294301092828	0.20081525058224203	0.2111960708480617	0.2230622378091801	0.19925158384063568	0.15105809515956659	0.21041294301092828	0.20819436817620252	0.20081525058224203	0.2036447812310651	0.20614803422095407	0.22569785491234673	0.1892337414782933	0.21041294301092828	0.2337823393886067	0.21458549512565073	0.21369617331861324	0.20749448656295377	0.23023767929669992
G000756615	0.19925158384063568	0.19777456201755517	0.1997626761158554	0.20749448656295377	0.20965246024319817	0.21955230011181248	0.2230622378091801	0.2230622378091801	0.21283605616404488	0.19592423374223866	0.21458549512565073	0.19925158384063568	0.06263832028608374	0.18115897366472666	0.20305424423053064	0.2042487673703237	0.19419357474022803	0.20819436817620252	0.20749448656295377	0.20965246024319817	0.2042487673703237	0.1997626761158554	0.0	0.15399771235160398	0.18504571614222765	0.19875010435662144	0.2036447812310651	0.18387734439954817	0.20486684018533552	0.21848034685629747	0.22863369998608363	0.2002837632246547	0.19683339702361868	0.2042487673703237	0.20819436817620252	0.20247656137247616	0.2111960708480617	0.20614803422095407	0.22569785491234673	0.21369617331861324	0.18504571614222765	0.22863369998608363	0.06433940460859855	0.20614803422095407	0.21369617331861324	0.2230622378091801
G000758685	0.20247656137247616	0.2002837632246547	0.20247656137247616	0.20749448656295377	0.21369617331861324	0.22569785491234673	0.22183872209933808	0.2230622378091801	0.22183872209933808	0.19419357474022803	0.22183872209933808	0.2054996839209604	0.15518465573915918	0.20891333007802315	0.2111960708480617	0.20749448656295377	0.20749448656295377	0.20614803422095407	0.20614803422095407	0.23023767929669992	0.16633877667064	0.19256783715906944	0.15399771235160398	0.0	0.18888751656182956	0.19777456201755517	0.20819436817620252	0.1868984853325918	0.20614803422095407	0.2230622378091801	0.23194869152907194	0.20486684018533552	0.1997626761158554	0.20681268342427628	0.21369617331861324	0.20081525058224203	0.21646034327688457	0.20681268342427628	0.23023767929669992	0.21848034685629747	0.18275718116330775	0.24023901843713757	0.1566361681820332	0.2230622378091801	0.2206703524694551	0.23575793245166765
G000758725	0.20305424423053064	0.20614803422095407	0.20819436817620252	0.21283605616404488	0.20614803422095407	0.2111960708480617	0.23023767929669992	0.23789976787783396	0.23194869152907194	0.20749448656295377	0.22434646331744024	0.19875010435662144	0.18658075319529022	0.20891333007802315	0.20247656137247616	0.21283605616404488	0.2036447812310651	0.19592423374223866	0.21369617331861324	0.20819436817620252	0.20681268342427628	0.20614803422095407	0.18504571614222765	0.18888751656182956	0.0	0.21283605616404488	0.18993981231191792	0.0950435356683812	0.20081525058224203	0.21200325796739594	0.22712396389056422	0.20305424423053064	0.2054996839209604	0.2036447812310651	0.19066487244686536	0.20891333007802315	0.22183872209933808	0.1982578772270217	0.21955230011181248	0.20891333007802315	0.16515781907252292	0.1982578772270217	0.19419357474022803	0.20614803422095407	0.20891333007802315	0.19925158384063568
G000787385	0.2042487673703237	0.17892478797833045	0.20191117648963886	0.20965246024319817	0.21041294301092828	0.21955230011181248	0.22434646331744024	0.22569785491234673	0.20891333007802315	0.17257196473927572	0.22434646331744024	0.2036447812310651	0.20614803422095407	0.20891333007802315	0.21458549512565073	0.20891333007802315	0.20819436817620252	0.1872199929290459	0.21283605616404488	0.2206703524694551	0.19925158384063568	0.19461587627164578	0.19875010435662144	0.19777456201755517	0.21283605616404488	0.0	0.20191117648963874	0.20891333007802315	0.19875010435662144	0.2042487673703237	0.22306223780918022	0.19548097665846076	0.18359294389370384	0.20965246024319817	0.20681268342427628	0.1982578772270217	0.21041294301092828	0.20305424423053064	0.2206703524694551	0.2230622378091801	0.22434646331744024	0.21646034327688457	0.20614803422095407	0.21646034327688457	0.21283605616404488	0.21369617331861324
G000949425	0.1937778183340616	0.2054996839209604	0.20247656137247616	0.20681268342427628	0.22863369998608363	0.19504493576192095	0.23194869152907194	0.24023901843713757	0.20749448656295377	0.2111960708480617	0.23023767929669992	0.21283605616404488	0.2042487673703237	0.19683339702361868	0.19217632301500154	0.20614803422095407	0.1982578772270217	0.1822139479416005	0.21848034685629747	0.1982578772270217	0.2054996839209604	0.21200325796739594	0.2036447812310651	0.20819436817620252	0.18993981231191792	0.20191117648963874	0.0	0.171279568592972	0.18595626246076324	0.1872199929290459	0.22569785491234673	0.20191117648963874	0.1997626761158554	0.20681268342427628	0.20135756892871604	0.20191117648963886	0.20247656137247616	0.19925158384063568	0.22712396389056422	0.20081525058224203	0.22712396389056422	0.20486684018533552	0.2206703524694551	0.19637495390973458	0.20191117648963886	0.20614803422095407
G001012825	0.21041294301092828	0.20891333007802315	0.2054996839209604	0.20614803422095407	0.22434646331744024	0.18416475533750087	0.23575793245166765	0.23194869152907194	0.22569785491234673	0.20891333007802315	0.2337823393886067	0.20819436817620252	0.18416475533750087	0.20305424423053064	0.2111960708480617	0.21369617331861324	0.2036447812310651	0.19029990407213082	0.21458549512565073	0.21283605616404488	0.20614803422095407	0.21041294301092828	0.18387734439954817	0.1868984853325918	0.0950435356683812	0.20891333007802315	0.171279568592972	0.0	0.1929651387025768	0.19548097665846076	0.22863369998608363	0.20247656137247616	0.20749448656295377	0.20486684018533552	0.18039372454331148	0.20749448656295377	0.21458549512565073	0.19637495390973458	0.21848034685629747	0.20891333007802315	0.16679495035099368	0.20191117648963886	0.19066487244686536	0.21041294301092828	0.22569785491234673	0.20247656137247616
G001275645	0.19925158384063568	0.15114545045330352	0.1982578772270217	0.2036447812310651	0.21200325796739594	0.21848034685629747	0.21369617331861324	0.22863369998608363	0.19925158384063568	0.19683339702361868	0.21646034327688457	0.19875010435662144	0.2111960708480617	0.20081525058224203	0.20305424423053064	0.20305424423053064	0.2042487673703237	0.19729983683956842	0.21458549512565073	0.21041294301092828	0.20081525058224203	0.20081525058224203	0.20486684018533552	0.20614803422095407	0.20081525058224203	0.19875010435662144	0.18595626246076324	0.1929651387025768	0.0	0.02258227334730989	0.21646034327688457	0.1698731914198408	0.19066487244686536	0.2054996839209604	0.19419357474022803	0.12724634618312447	0.20749448656295377	0.19729983683956842	0.21848034685629747	0.20681268342427628	0.22434646331744024	0.20614803422095407	0.21283605616404488	0.20819436817620252	0.19683339702361868	0.20965246024319817
G001277345	0.20965246024319817	0.15399771235160398	0.20965246024319817	0.21369617331861324	0.21283605616404488	0.21955230011181248	0.2111960708480617	0.23023767929669992	0.2036447812310651	0.2111960708480617	0.2111960708480617	0.20305424423053064	0.22183872209933808	0.20891333007802315	0.21283605616404488	0.21200325796739594	0.21369617331861324	0.20486684018533552	0.23023767929669992	0.20965246024319817	0.20891333007802315	0.2111960708480617	0.21848034685629747	0.2230622378091801	0.21200325796739594	0.2042487673703237	0.1872199929290459	0.19548097665846076	0.02258227334730989	0.0	0.21458549512565073	0.1741274234048088	0.2002837632246547	0.22434646331744024	0.20819436817620252	0.12766423582234276	0.20681268342427628	0.20749448656295377	0.21369617331861324	0.2054996839209604	0.22434646331744024	0.1997626761158554	0.20965246024319817	0.20819436817620252	0.2002837632246547	0.20891333007802315
G001277855	0.07867695717149126	0.2206703524694551	0.09849777791735992	0.09670585294778344	0.22183872209933808	0.22712396389056422	0.2036447812310651	0.23575793245166765	0.22712396389056422	0.2206703524694551	0.2054996839209604	0.2206703524694551	0.22434646331744024	0.09636820745463304	0.028513718646251518	0.07843452937580442	0.08942739986545156	0.2206703524694551	0.24281661068440852	0.03007184538970331	0.21283605616404488	0.2230622378091801	0.22863369998608363	0.23194869152907194	0.22712396389056422	0.22306223780918022	0.22569785491234673	0.22863369998608363	0.21646034327688457	0.21458549512565073	0.0	0.21848034685629747	0.22569785491234673	0.23023767929669992	0.20486684018533552	0.21458549512565073	0.09436119998408188	0.19336840416990753	0.20681268342427628	0.21955230011181248	0.20965246024319817	0.20681268342427628	0.2206703524694551	0.030083369684056227	0.20749448656295377	0.2036447812310651
G001373415	0.19548097665846076	0.17333868898960092	0.19461587627164578	0.19875010435662144	0.21041294301092828	0.21458549512565073	0.21369617331861324	0.22183872209933808	0.20965246024319817	0.1972998368395683	0.21200325796739594	0.20135756892871604	0.21200325796739594	0.20081525058224203	0.20191117648963886	0.1982578772270217	0.20191117648963886	0.19637495390973458	0.20891333007802315	0.2111960708480617	0.1929651387025768	0.19925158384063568	0.2002837632246547	0.20486684018533552	0.20305424423053064	0.19548097665846076	0.20191117648963874	0.20247656137247616	0.1698731914198408	0.1741274234048088	0.21848034685629747	0.0	0.19336840416990753	0.2002837632246547	0.2042487673703237	0.1698731914198408	0.20614803422095407	0.19592423374223866	0.21745078613628155	0.2111960708480617	0.21200325796739594	0.215506110747391	0.21646034327688457	0.20819436817620252	0.20081525058224203	0.21458549512565073
