sample	G000011645	G000196735	G000275785	G000285535	G000518865	G000696615	G000701305	G000709935	G000715205	G000740655	G000740715	G000746035	G000747645	G000986655	G001017485	G001278705	G001439915	G001440465	G001457015	G001461825	G001461845	G001517185	G001578205	G001587325	G001617995	G001653905	G001663575	G001687195	G001975995	G900093775	G900094985	G900110305	G900119345	G900156245
G000740715	0.17074373172604929	0.049443203328180196	0.01534742531047284	0.20819436817620252	0.23789976787783396	0.13133388272535684	0.1872199929290459	0.19925158384063568	0.18039372454331148	0.14184065309465477	0.0	0.01527421236366544	0.1312036644235529	0.178218935331392	0.18194634616898941	0.18888751656182956	0.20819436817620252	0.015357210862703807	0.18275718116330775	0.00371504458280969	0.00340142767179219	0.014981125121870775	0.1798952390351396	0.015207133621710223	0.015539758099862078	0.1892337414782933	0.12887582755289917	0.01145941048517618	0.015974604576786122	0.170045114455863	0.18275718116330775	0.13340868085178825	0.18888751656182956	0.015128242684306348
G000746035	0.1766395421267748	0.049193000426997924	0.007567770956103836	0.23194869152907194	0.23023767929669992	0.13411920999710003	0.18888751656182956	0.21745078613628155	0.19256783715906944	0.14222074959547615	0.01527421236366544	0.0	0.13574763728527395	0.18854567604447092	0.19419357474022803	0.19875010435662144	0.23194869152907194	0.015150469263593647	0.18820810857879489	0.015466701864270571	0.015342534641278993	0.009711406171755588	0.18993981231191792	0.009478129482176745	0.010390267631853578	0.19066487244686536	0.1296445852728254	0.01686087850013862	0.014872809912489626	0.17708157002767821	0.18820810857879489	0.13392799850344206	0.1875453682558158	0.014490034217398806
G000747645	0.1610045152113494	0.13407128681752334	0.13662430960300043	0.2042487673703237	0.22306223780918022	0.015124380163912376	0.17964937172669404	0.19461587627164578	0.17775829698374046	0.06120740055833507	0.1312036644235529	0.13574763728527395	0.0	0.17201063269440675	0.1768596637421287	0.18658075319529022	0.2054996839209604	0.13359643178050207	0.17556471639782867	0.13047676058897517	0.13056132559526923	0.13285272732331144	0.1749394900626572	0.1332686739066118	0.13181649196351586	0.18141890931546312	0.062775436117259	0.12891577776370633	0.13605397884888437	0.16633877667064	0.17556471639782867	0.015679829108869336	0.18064642733961156	0.13345550289578556
G000986655	0.1773052906145417	0.17577633459464348	0.18854567604447092	0.2042487673703237	0.22712396389056422	0.1735337594722245	0.011753153396437455	0.19504493576192095	0.07209364207142954	0.1844552421527602	0.178218935331392	0.18854567604447092	0.17201063269440675	0.0	0.07413727428434547	0.19029990407213082	0.2036447812310651	0.1872199929290459	0.012107823368872395	0.17620453797809976	0.17753085588215212	0.17556471639782867	0.07441100371667053	0.17642117627437204	0.17892478797833045	0.07371995028930833	0.18359294389370384	0.17620453797809976	0.1862667075262454	0.17892478797833045	0.012107823368872395	0.1798952390351396	0.014986870409047337	0.17892478797833045
G001017485	0.18014334273862942	0.17964937172669404	0.19461587627164578	0.20819436817620252	0.23023767929669992	0.17775829698374046	0.07425001314519286	0.20081525058224203	0.06953887411798687	0.18854567604447092	0.18194634616898941	0.19419357474022803	0.1768596637421287	0.07413727428434547	0.0	0.1929651387025768	0.20965246024319817	0.19419357474022803	0.07377835406054467	0.18064642733961156	0.1822139479416005	0.18014334273862942	0.0664347340588225	0.18115897366472666	0.18416475533750087	0.014916148020831965	0.18888751656182956	0.18115897366472666	0.19256783715906944	0.18115897366472666	0.07377835406054467	0.18504571614222765	0.0738193091785393	0.18303292269877824
G001278705	0.19029990407213082	0.18658075319529022	0.20247656137247616	0.20965246024319817	0.22712396389056422	0.18993981231191792	0.20081525058224203	0.2036447812310651	0.19419357474022803	0.19637495390973458	0.18888751656182956	0.19875010435662144	0.18658075319529022	0.19029990407213082	0.1929651387025768	0.0	0.20965246024319817	0.2002837632246547	0.19729983683956842	0.1868984853325918	0.1875453682558158	0.1853458454503889	0.1895844665761487	0.1862667075262454	0.18854567604447092	0.20135756892871604	0.20486684018533552	0.1862667075262454	0.19925158384063568	0.18787470702802278	0.19729983683956842	0.19777456201755517	0.20749448656295377	0.18820810857879489
G001439915	0.20891333007802315	0.20486684018533552	0.2337823393886067	0.13244275431992036	0.2206703524694551	0.20614803422095407	0.21955230011181248	0.1997626761158554	0.21041294301092828	0.21955230011181248	0.20819436817620252	0.23194869152907194	0.2054996839209604	0.2036447812310651	0.20965246024319817	0.20965246024319817	0.0	0.23023767929669992	0.215506110747391	0.20681268342427628	0.20749448656295377	0.20614803422095407	0.20305424423053064	0.20681268342427628	0.20965246024319817	0.2230622378091801	0.23194869152907194	0.20749448656295377	0.22569785491234673	0.21200325796739594	0.215506110747391	0.21955230011181248	0.22434646331744024	0.21283605616404488
G001440465	0.1753547194971926	0.049876177998173565	0.015396409353595097	0.22569785491234673	0.22712396389056422	0.1322624165997116	0.1875453682558158	0.21458549512565073	0.19217632301500154	0.14234858972412245	0.015357210862703807	0.015150469263593647	0.13359643178050207	0.1872199929290459	0.19419357474022803	0.2002837632246547	0.23023767929669992	0.0	0.1868984853325918	0.015440123807507922	0.015317614049357497	0.01474582028720095	0.1892337414782933	0.015154337730174272	0.015520970605035433	0.1892337414782933	0.1282440919176605	0.017551125305213855	0.012018106833536768	0.17620453797809976	0.1868984853325918	0.1327611121071881	0.1862667075262454	0.011076795053664878
G001457015	0.18115897366472666	0.18039372454331148	0.18820810857879489	0.215506110747391	0.23023767929669992	0.17753085588215212	0.01251422847687833	0.20486684018533552	0.07164042079203903	0.1868984853325918	0.18275718116330775	0.18820810857879489	0.17556471639782867	0.012107823368872395	0.07377835406054467	0.19729983683956842	0.215506110747391	0.1868984853325918	0.0	0.1798952390351396	0.18141890931546312	0.17964937172669404	0.07439904678805198	0.18064642733961156	0.18331149045246675	0.07321117638481578	0.18303292269877824	0.18039372454331148	0.1868984853325918	0.18359294389370384	0	0.18039372454331148	0.014973467775046712	0.18168135030397525
G001461825	0.16970233337439367	0.049476432901390144	0.015540747487314488	0.2042487673703237	0.22863369998608363	0.13111718067766054	0.1844552421527601	0.19637495390973458	0.1798952390351396	0.14091212430619782	0.00371504458280969	0.015466701864270571	0.13047676058897517	0.17620453797809976	0.18064642733961156	0.1868984853325918	0.20681268342427628	0.015440123807507922	0.1798952390351396	0.0	0.0006647458171853415	0.015233350307580995	0.17753085588215212	0.01571077895428974	0.015577890878737843	0.1862667075262454	0.1288359330225286	0.011595286641783775	0.016451953944346065	0.1683722626678068	0.1798952390351396	0.13312935045908347	0.18658075319529022	0.015273725332668908
G001461845	0.1703922100111015	0.04942423437482568	0.01542881607775981	0.20486684018533552	0.23023767929669992	0.13116038983895129	0.1844552421527601	0.19777456201755517	0.18064642733961156	0.1406695655004625	0.00340142767179219	0.015342534641278993	0.13056132559526923	0.17753085588215212	0.1822139479416005	0.1875453682558158	0.20749448656295377	0.015317614049357497	0.18141890931546312	0.0006647458171853415	0.0	0.015127276971723669	0.17868747139862406	0.015326405388809805	0.015457345607624462	0.18658075319529022	0.12879609401619208	0.011479851805534014	0.01608913927873623	0.16886356086232746	0.18141890931546312	0.13299070380108735	0.18658075319529022	0.015153854123613475
G001517185	0.1675723607907451	0.04936504696877797	0.010576586880920336	0.2042487673703237	0.22569785491234673	0.13159611310012853	0.18359294389370384	0.19461587627164578	0.18064642733961156	0.14019058038045473	0.014981125121870775	0.009711406171755588	0.13285272732331144	0.17556471639782867	0.18014334273862942	0.1853458454503889	0.20614803422095407	0.01474582028720095	0.17964937172669404	0.015233350307580995	0.015127276971723669	0.0	0.1773052906145417	0.010259229000054049	0.010184551474256565	0.1862667075262454	0.12863729012621894	0.017163488553270656	0.015093029765300914	0.16853505965765858	0.17964937172669404	0.1322624165997116	0.18595626246076324	0.014203789719898108
G001578205	0.1791641851338034	0.1779876458729147	0.19066487244686536	0.2042487673703237	0.22434646331744024	0.17642117627437204	0.07429761790891953	0.19592423374223866	0.07075548089290218	0.18658075319529022	0.1798952390351396	0.18993981231191792	0.1749394900626572	0.07441100371667053	0.0664347340588225	0.1895844665761487	0.20305424423053064	0.1892337414782933	0.07439904678805198	0.17753085588215212	0.17868747139862406	0.1773052906145417	0.0	0.17868747139862406	0.18115897366472666	0.06588361640989404	0.1853458454503889	0.1779876458729147	0.18820810857879489	0.1798952390351396	0.07439904678805198	0.18275718116330775	0.07387792040795516	0.17964937172669404
G001587325	0.16919601735379686	0.04978226427242283	0.009417681685814694	0.2054996839209604	0.22712396389056422	0.13212790670848307	0.1844552421527602	0.19548097665846076	0.18141890931546312	0.14030957098654495	0.015207133621710223	0.009478129482176745	0.1332686739066118	0.17642117627437204	0.18115897366472666	0.1862667075262454	0.20681268342427628	0.015154337730174272	0.18064642733961156	0.01571077895428974	0.015326405388809805	0.010259229000054049	0.17868747139862406	0.0	0.011261405403219849	0.1872199929290459	0.1293183771850216	0.017404629761325174	0.014497939652563407	0.16936375927744107	0.18064642733961156	0.1331757160802095	0.1868984853325918	0.01446169837437472
G001617995	0.1702181160447812	0.04961933641676364	0.010477535748800615	0.20749448656295377	0.22712396389056422	0.13186077246936956	0.18416475533750087	0.1997626761158554	0.18275718116330775	0.14085128992641105	0.015539758099862078	0.010390267631853578	0.13181649196351586	0.17892478797833045	0.18416475533750087	0.18854567604447092	0.20965246024319817	0.015520970605035433	0.18331149045246675	0.015577890878737843	0.015457345607624462	0.010184551474256565	0.18115897366472666	0.011261405403219849	0.0	0.18658075319529022	0.1298917055927361	0.017364485676679142	0.015936594547307448	0.1703922100111015	0.18331149045246675	0.13253335206027805	0.18658075319529022	0.014934755613552952
G001653905	0.18595626246076324	0.18595626246076324	0.19066487244686536	0.21955230011181248	0.22434646331744024	0.1822139479416005	0.07375497795627306	0.21041294301092828	0.06863462460890979	0.18854567604447092	0.1892337414782933	0.19066487244686536	0.18141890931546312	0.07371995028930833	0.014916148020831965	0.20135756892871604	0.2230622378091801	0.1892337414782933	0.07321117638481578	0.1862667075262454	0.18658075319529022	0.1862667075262454	0.06588361640989404	0.1872199929290459	0.18658075319529022	0.0	0.1844552421527602	0.18658075319529022	0.18854567604447092	0.1875453682558158	0.07321117638481578	0.1822139479416005	0.07249284153262048	0.18820810857879489
G001663575	0.17333868898960092	0.13474965273114503	0.12956268392436432	0.22569785491234673	0.22306223780918022	0.06063159476318636	0.18387734439954817	0.21848034685629747	0.18888751656182956	0.05570928879132442	0.12887582755289917	0.1296445852728254	0.062775436117259	0.18359294389370384	0.18888751656182956	0.20486684018533552	0.23194869152907194	0.1282440919176605	0.18303292269877824	0.1288359330225286	0.12879609401619208	0.12863729012621894	0.1853458454503889	0.1293183771850216	0.1298917055927361	0.1844552421527602	0.0	0.12985037034212188	0.1298917055927361	0.17373022502183444	0.18303292269877824	0.06124449495351647	0.18194634616898941	0.1298917055927361
G001687195	0.16902928866424327	0.048249978558301376	0.01728720338062495	0.20486684018533552	0.22183872209933808	0.13172813632356872	0.18416475533750087	0.19683339702361868	0.18141890931546312	0.14097308941175524	0.01145941048517618	0.01686087850013862	0.12891577776370633	0.17620453797809976	0.18115897366472666	0.1862667075262454	0.20749448656295377	0.017551125305213855	0.18039372454331148	0.011595286641783775	0.011479851805534014	0.017163488553270656	0.1779876458729147	0.017404629761325174	0.017364485676679142	0.18658075319529022	0.12985037034212188	0.0	0.01802645073302922	0.1682104193809394	0.18039372454331148	0.13392799850344206	0.1862667075262454	0.0173419787647342
G001975995	0.1749394900626572	0.0505582385406711	0.014901371986389078	0.22183872209933808	0.22863369998608363	0.13494647347432964	0.18787470702802278	0.2111960708480617	0.1914099891957548	0.14312798665532933	0.015974604576786122	0.014872809912489626	0.13605397884888437	0.1862667075262454	0.19256783715906944	0.19925158384063568	0.22569785491234673	0.012018106833536768	0.1868984853325918	0.016451953944346065	0.01608913927873623	0.015093029765300914	0.18820810857879489	0.014497939652563407	0.015936594547307448	0.18854567604447092	0.1298917055927361	0.01802645073302922	0.0	0.1753547194971926	0.1868984853325918	0.1359003962315518	0.1868984853325918	0.012482944138750285
G900093775	0.11773503791205142	0.1657420057279717	0.17775829698374046	0.20749448656295377	0.21848034685629747	0.16588999734008647	0.1868984853325918	0.2002837632246547	0.18194634616898941	0.18039372454331148	0.170045114455863	0.17708157002767821	0.16633877667064	0.17892478797833045	0.18115897366472666	0.18787470702802278	0.21200325796739594	0.17620453797809976	0.18359294389370384	0.1683722626678068	0.16886356086232746	0.16853505965765858	0.1798952390351396	0.16936375927744107	0.1703922100111015	0.1875453682558158	0.17373022502183444	0.1682104193809394	0.1753547194971926	0.0	0.18359294389370384	0.1702181160447812	0.19217632301500154	0.170045114455863
G900094985	0.18115897366472666	0.18039372454331148	0.18820810857879489	0.215506110747391	0.23023767929669992	0.17753085588215212	0.01251422847687833	0.20486684018533552	0.07164042079203903	0.1868984853325918	0.18275718116330775	0.18820810857879489	0.17556471639782867	0.012107823368872395	0.07377835406054467	0.19729983683956842	0.215506110747391	0.1868984853325918	0	0.1798952390351396	0.18141890931546312	0.17964937172669404	0.07439904678805198	0.18064642733961156	0.18331149045246675	0.07321117638481578	0.18303292269877824	0.18039372454331148	0.1868984853325918	0.18359294389370384	0.0	0.18039372454331148	0.014973467775046712	0.18168135030397525
G900110305	0.17238357846784702	0.1361053576487894	0.13474965273114503	0.21848034685629747	0.2230622378091801	0.01112575941504712	0.18039372454331148	0.20749448656295377	0.1853458454503889	0.06091246323686317	0.13340868085178825	0.13392799850344206	0.015679829108869336	0.1798952390351396	0.18504571614222765	0.19777456201755517	0.21955230011181248	0.1327611121071881	0.18039372454331148	0.13312935045908347	0.13299070380108735	0.1322624165997116	0.18275718116330775	0.1331757160802095	0.13253335206027805	0.1822139479416005	0.06124449495351647	0.13392799850344206	0.1359003962315518	0.1702181160447812	0.18039372454331148	0.0	0.18275718116330775	0.13345550289578556
G900119345	0.18854567604447092	0.18595626246076324	0.1875453682558158	0.2230622378091801	0.22863369998608363	0.18194634616898941	0.015129691356303376	0.21646034327688457	0.07234802779549654	0.1892337414782933	0.18888751656182956	0.1875453682558158	0.18064642733961156	0.014986870409047337	0.0738193091785393	0.20749448656295377	0.22434646331744024	0.1862667075262454	0.014973467775046712	0.18658075319529022	0.18658075319529022	0.18595626246076324	0.07387792040795516	0.1868984853325918	0.18658075319529022	0.07249284153262048	0.18194634616898941	0.1862667075262454	0.1868984853325918	0.19217632301500154	0.014973467775046712	0.18275718116330775	0.0	0.18658075319529022
G900156245	0.17074373172604929	0.04950732764936072	0.014678921138569834	0.2111960708480617	0.23575793245166765	0.13208321048315097	0.1856493351152405	0.20081525058224203	0.18303292269877824	0.14241272671812144	0.015128242684306348	0.014490034217398806	0.13345550289578556	0.17892478797833045	0.18303292269877824	0.18820810857879489	0.21283605616404488	0.011076795053664878	0.18168135030397525	0.015273725332668908	0.015153854123613475	0.014203789719898108	0.17964937172669404	0.01446169837437472	0.014934755613552952	0.18820810857879489	0.1298917055927361	0.0173419787647342	0.012482944138750285	0.170045114455863	0.18168135030397525	0.13345550289578556	0.18658075319529022	0.0
