sample	G000250675	G000284035	G000308355	G000308495	G000308515	G000308595	G000308615	G000308635	G000308655	G000308675	G000308695	G000308715	G000308755	G000308795	G000308835	G000308855	G000308875	G000380645	G000381925	G000482385	G000523235	G000526215	G000719275	G000720425	G001182745	G001310275	G001552855	G001612765	G001613465	G001613505	G001865855	G001886715
G000308695	0.14567583250477312	0.14054905923376748	0.14042906250930987	0.16444448255721478	0.1671032977917043	0.13885686765059235	0.1618895934796406	0.15370866714815	0.1560048505624465	0.16125453564352632	0.0	0.14700361014679197	0.14241272671812144	0.14103418581276483	0.15409472671679736	0.16125453564352632	0.15579753779692973	0.20135756892871604	0.1669486945378944	0.17333868898960092	0.1585064485020371	0.16320494425083076	0.14042906250930987	0.16374902922527812	0.13354937810351786	0.09292843986246346	0.18474887246031824	0.14332623386101861	0.14306221149005438	0.1575007278903846	0.15478339517664108	0.15011467965647363
G000308715	0.11277153027327813	0.1420934835652914	0.14196678643951743	0.1661883740258039	0.17056741044833645	0.14553208202009316	0.1650136761971147	0.1556944544580975	0.1576107028848147	0.1682104193809394	0.14700361014679197	0.0	0.13271541451331192	0.14482409624067816	0.14517587266339338	0.16347565428157784	0.152397821836871	0.20247656137247616	0.1661883740258039	0.16970233337439367	0.1660387838683004	0.15816716778873896	0.14196678643951743	0.1657420057279717	0.1402500133345861	0.15390103251784037	0.18787470702802278	0.1342634645881714	0.13271541451331192	0.16227770551097054	0.15631872843183792	0.15045409028706602
G000308755	0.13731340769703904	0.13683456830784047	0.14196678643951743	0.15827980384405138	0.1675723607907451	0.14171507847648002	0.16458568961130549	0.15390103251784037	0.15674278721101942	0.1589653350623862	0.14241272671812144	0.13271541451331192	0.0	0.14379428183446086	0.14306221149005438	0.15538746269018533	0.15390103251784037	0.19925158384063568	0.16176141703058444	0.1516753609866438	0.1606336444012858	0.15428976848637532	0.14203006421121034	0.1603891127515351	0.13280688296462917	0.1493656482703437	0.18168135030397525	0.09890374460016493	0.099980957877711	0.1559010022093007	0.1566361681820332	0.15140915690968237
G000308795	0.14879653828970874	0.13780044375207767	0.11372174199905005	0.1629368469471747	0.17056741044833645	0.13824047896456126	0.1603891127515351	0.14863602497141026	0.14815989843232213	0.16444448255721478	0.14103418581276483	0.14482409624067816	0.14379428183446086	0.0	0.1543878006763022	0.15409472671679736	0.1509710104330262	0.19103485352256033	0.15990639531083117	0.17642117627437204	0.1561090857562657	0.15772111250177923	0.11374531367912621	0.1594318957121479	0.13177227998620356	0.1480029600749213	0.1875453682558158	0.14420172021697986	0.14254143789085516	0.15248945026301552	0.14784689040206067	0.12591981104859007
G000308835	0.14413340509287687	0.14567583250477312	0.1503688530081405	0.16458568961130549	0.17373022502183444	0.15518465573915918	0.16430399060142298	0.16075672001725017	0.1606336444012858	0.16664205559826184	0.15409472671679736	0.14517587266339338	0.14306221149005438	0.1543878006763022	0.0	0.1628037621788606	0.16014670879485893	0.20247656137247616	0.17074373172604929	0.17392810604572706	0.16430399060142298	0.1671032977917043	0.15045409028706602	0.1675723607907451	0.14895797128113286	0.1520342688230285	0.19217632301500154	0.14392944383815942	0.1446846020468121	0.16163382842845864	0.1606336444012858	0.1587349485524886
G000308855	0.1626713117108778	0.1514976117267024	0.15518465573915918	0.16788954902778874	0.1675723607907451	0.15739118406291952	0.1559010022093007	0.15419207796837275	0.1580549842767962	0.16788954902778874	0.16125453564352632	0.16347565428157784	0.15538746269018533	0.15409472671679736	0.1628037621788606	0.0	0.1453178181351823	0.20081525058224203	0.15428976848637532	0.1798952390351396	0.11680237227625256	0.14953038594309298	0.15488317272539354	0.16444448255721478	0.15295213257335638	0.1628037621788606	0.1872199929290459	0.15728206798812083	0.1568498143377074	0.09720656374854098	0.15990639531083117	0.1633399694501828
G000308875	0.15538746269018533	0.1515863458214206	0.14903903600267077	0.17146052270908962	0.1745304529222208	0.153233447855052	0.15053958661054134	0.15053958661054134	0.15088419458079905	0.16953252701278054	0.15579753779692973	0.152397821836871	0.15390103251784037	0.1509710104330262	0.16014670879485893	0.1453178181351823	0.0	0.2036447812310651	0.1480029600749213	0.1862667075262454	0.14406525452104735	0.11987072431519474	0.14920186869775476	0.16588999734008647	0.14815989843232213	0.16138039306582797	0.1895844665761487	0.1566361681820332	0.15332784987214199	0.1419036496119701	0.1520342688230285	0.1587349485524886
G000380645	0.20614803422095407	0.1937778183340616	0.19029990407213082	0.20614803422095407	0.20965246024319817	0.19637495390973458	0.2042487673703237	0.20614803422095407	0.2002837632246547	0.20135756892871604	0.20135756892871604	0.20247656137247616	0.19925158384063568	0.19103485352256033	0.20247656137247616	0.20081525058224203	0.2036447812310651	0.0	0.21458549512565073	0.21848034685629747	0.20305424423053064	0.20305424423053064	0.19029990407213082	0.20749448656295377	0.19592423374223866	0.20247656137247616	0.20614803422095407	0.19461587627164578	0.19419357474022803	0.20081525058224203	0.20081525058224203	0.19683339702361868
G000381925	0.1647276191883803	0.16388673278008614	0.15908124566369586	0.18141890931546312	0.17845219899794473	0.16201836329644703	0.15862046467975388	0.1589653350623862	0.1608803419731769	0.18331149045246675	0.1669486945378944	0.1661883740258039	0.16176141703058444	0.15990639531083117	0.17074373172604929	0.15428976848637532	0.1480029600749213	0.21458549512565073	0.0	0.19548097665846076	0.15488317272539354	0.15267360909805483	0.15919763989001556	0.17238357846784702	0.1594318957121479	0.16970233337439367	0.19336840416990753	0.16307057220941157	0.16176141703058444	0.15176465903259329	0.16227770551097054	0.16515781907252292
G000482385	0.16919601735379686	0.16649000080894194	0.17473420919524163	0.18248420820599642	0.18141890931546312	0.16970233337439367	0.1914099891957548	0.18064642733961156	0.18416475533750087	0.18090149524762822	0.17333868898960092	0.16970233337439367	0.1516753609866438	0.17642117627437204	0.17392810604572706	0.1798952390351396	0.1862667075262454	0.21848034685629747	0.19548097665846076	0.0	0.18504571614222765	0.18303292269877824	0.1745304529222208	0.1798952390351396	0.16559480046046848	0.17295265378610025	0.19875010435662144	0.15140915690968237	0.15380468488529486	0.18115897366472666	0.18595626246076324	0.17556471639782867
G000523235	0.1618895934796406	0.15285898399425568	0.153517612256729	0.16741512086339316	0.16970233337439367	0.1579432496359754	0.15105809515956659	0.15304559133900408	0.1566361681820332	0.170045114455863	0.1585064485020371	0.1660387838683004	0.1606336444012858	0.1561090857562657	0.16430399060142298	0.11680237227625256	0.14406525452104735	0.20305424423053064	0.15488317272539354	0.18504571614222765	0.0	0.15342257060975673	0.15342257060975673	0.16853505965765858	0.1544861769694672	0.16544837310472815	0.18993981231191792	0.16112924474179402	0.15978701113176663	0.11220713548839123	0.15706510564175813	0.16051111024952358
G000526215	0.15816716778873896	0.15399771235160398	0.15631872843183792	0.17333868898960092	0.17642117627437204	0.1566361681820332	0.1509710104330262	0.1559010022093007	0.15884990402772292	0.17276165040318747	0.16320494425083076	0.15816716778873896	0.15428976848637532	0.15772111250177923	0.1671032977917043	0.14953038594309298	0.11987072431519474	0.20305424423053064	0.15267360909805483	0.18303292269877824	0.15342257060975673	0.0	0.15642414188124376	0.17295265378610025	0.15088419458079905	0.1671032977917043	0.1862667075262454	0.1567427872110193	0.1559010022093007	0.14662847656154754	0.15631872843183792	0.16347565428157784
G000719275	0.14454579255574918	0.1330368445649096	6.876524537535733e-05	0.1633399694501828	0.16458568961130549	0.13747482835600822	0.1629368469471747	0.14700361014679197	0.14700361014679197	0.16544837310472815	0.14042906250930987	0.14196678643951743	0.14203006421121034	0.11374531367912621	0.15045409028706602	0.15488317272539354	0.14920186869775476	0.19029990407213082	0.15919763989001556	0.1745304529222208	0.15342257060975673	0.15642414188124376	0.0	0.15978701113176663	0.13369077257352968	0.1235038483166111	0.18359294389370384	0.14379428183446086	0.14312798665532933	0.15267360909805483	0.145892838909376	0.10057235869071668
G000720425	0.16388673278008614	0.1497793139374738	0.15966813605239916	0.15045409028706602	0.1235038483166111	0.15966813605239916	0.17514631886777565	0.16886356086232746	0.17146052270908962	0.1567427872110193	0.16374902922527812	0.1657420057279717	0.1603891127515351	0.1594318957121479	0.1675723607907451	0.16444448255721478	0.16588999734008647	0.20749448656295377	0.17238357846784702	0.1798952390351396	0.16853505965765858	0.17295265378610025	0.15978701113176663	0.0	0.15508380039810532	0.16374902922527812	0.19103485352256033	0.16112924474179402	0.15642414188124376	0.1636120053164013	0.17333868898960092	0.1671032977917043
G001182745	0.14447664245398006	0.13018273707895478	0.1336435631838837	0.15428976848637532	0.16201836329644703	0.11482649864466132	0.1608803419731769	0.14895797128113286	0.15313936239209291	0.15508380039810532	0.13354937810351786	0.1402500133345861	0.13280688296462917	0.13177227998620356	0.14895797128113286	0.15295213257335638	0.14815989843232213	0.19592423374223866	0.1594318957121479	0.16559480046046848	0.1544861769694672	0.15088419458079905	0.13369077257352968	0.15508380039810532	0.0	0.14054905923376748	0.18039372454331148	0.13407128681752334	0.13369077257352968	0.1515863458214206	0.15176465903259329	0.14413340509287687
G001310275	0.15478339517664108	0.13299070380108735	0.12337174839500975	0.16416420643371987	0.16664205559826184	0.14312798665532933	0.17164267391763133	0.1552858756094403	0.16014670879485893	0.16544837310472815	0.09292843986246346	0.15390103251784037	0.1493656482703437	0.1480029600749213	0.1520342688230285	0.1628037621788606	0.16138039306582797	0.20247656137247616	0.16970233337439367	0.17295265378610025	0.16544837310472815	0.1671032977917043	0.1235038483166111	0.16374902922527812	0.14054905923376748	0.0	0.18595626246076324	0.1461115252196663	0.14647980791785642	0.16559480046046848	0.16201836329644703	0.15579753779692973
G001552855	0.1875453682558158	0.1822139479416005	0.18359294389370384	0.19217632301500154	0.1914099891957548	0.18168135030397525	0.1937778183340616	0.19066487244686536	0.1892337414782933	0.19179042750957842	0.18474887246031824	0.18787470702802278	0.18168135030397525	0.1875453682558158	0.19217632301500154	0.1872199929290459	0.1895844665761487	0.20614803422095407	0.19336840416990753	0.19875010435662144	0.18993981231191792	0.1862667075262454	0.18359294389370384	0.19103485352256033	0.18039372454331148	0.18595626246076324	0.0	0.1853458454503889	0.18115897366472666	0.18993981231191792	0.19103485352256033	0.18387734439954817
G001612765	0.1354445550245349	0.137367112888101	0.14379428183446086	0.15884990402772292	0.1657420057279717	0.14134165745300198	0.1657420057279717	0.15478339517664108	0.1566361681820332	0.1603891127515351	0.14332623386101861	0.1342634645881714	0.09890374460016493	0.14420172021697986	0.14392944383815942	0.15728206798812083	0.1566361681820332	0.19461587627164578	0.16307057220941157	0.15140915690968237	0.16112924474179402	0.1567427872110193	0.14379428183446086	0.16112924474179402	0.13407128681752334	0.1461115252196663	0.1853458454503889	0.0	0.07568940204510755	0.16026764716105835	0.15884990402772292	0.15071136280717312
G001613465	0.13474965273114503	0.13626005256370277	0.14306221149005438	0.15579753779692973	0.1647276191883803	0.1420934835652914	0.1650136761971147	0.15332784987214199	0.15390103251784037	0.1594318957121479	0.14306221149005438	0.13271541451331192	0.099980957877711	0.14254143789085516	0.1446846020468121	0.1568498143377074	0.15332784987214199	0.19419357474022803	0.16176141703058444	0.15380468488529486	0.15978701113176663	0.1559010022093007	0.14312798665532933	0.15642414188124376	0.13369077257352968	0.14647980791785642	0.18115897366472666	0.07568940204510755	0.0	0.15728206798812083	0.1567427872110193	0.1509710104330262
G001613505	0.16075672001725017	0.15019914925654398	0.15276614352205242	0.16773050001195755	0.1683722626678068	0.15399771235160398	0.15176465903259329	0.15304559133900408	0.15248945026301552	0.16788954902778874	0.1575007278903846	0.16227770551097054	0.1559010022093007	0.15248945026301552	0.16163382842845864	0.09720656374854098	0.1419036496119701	0.20081525058224203	0.15176465903259329	0.18115897366472666	0.11220713548839123	0.14662847656154754	0.15267360909805483	0.1636120053164013	0.1515863458214206	0.16559480046046848	0.18993981231191792	0.16026764716105835	0.15728206798812083	0.0	0.15652995410767634	0.16075672001725017
G001865855	0.1608803419731769	0.1502838731882683	0.14582031807795337	0.17164267391763133	0.1768596637421287	0.1515863458214206	0.16112924474179402	0.13164005309189497	0.09456663303444635	0.1718260384060959	0.15478339517664108	0.15631872843183792	0.1566361681820332	0.14784689040206067	0.1606336444012858	0.15990639531083117	0.1520342688230285	0.20081525058224203	0.16227770551097054	0.18595626246076324	0.15706510564175813	0.15631872843183792	0.145892838909376	0.17333868898960092	0.15176465903259329	0.16201836329644703	0.19103485352256033	0.15884990402772292	0.1567427872110193	0.15652995410767634	0.0	0.1545848998233732
G001886715	0.1519441110959966	0.1420934835652914	0.10060224944557417	0.16588999734008647	0.16530271536355856	0.14685295790631858	0.16725876991087307	0.15419207796837275	0.15954976568840207	0.16970233337439367	0.15011467965647363	0.15045409028706602	0.15140915690968237	0.12591981104859007	0.1587349485524886	0.1633399694501828	0.1587349485524886	0.19683339702361868	0.16515781907252292	0.17556471639782867	0.16051111024952358	0.16347565428157784	0.10057235869071668	0.1671032977917043	0.14413340509287687	0.15579753779692973	0.18387734439954817	0.15071136280717312	0.1509710104330262	0.16075672001725017	0.1545848998233732	0.0
