sample	G000006965	G000016285	G000017145	G000018545	G000092025	G000092045	G000247475	G000261485	G000300855	G000312665	G000330885	G000379605	G000426285	G000517605	G000518585	G000518785	G000621665	G000696095	G000697965	G000722615	G000731315	G000739935	G000744505	G000745655	G000745725	G000745735	G000757525	G000816845	G000949895	G000967425	G001005825	G001424985	G001426665	G001427625	G001542405	G001652565	G001687365	G001695855	G001889105
G000006965	0.0	0.19256783715906933	0.0954658421772756	0.13026643577957087	0.18387734439954817	0.1721964736441023	0.18014334273862942	0.13908436529432866	0.17892478797833045	0.18064642733961156	0.17257196473927572	0.16416420643371987	0.17392810604572706	0.17295265378610025	0.1868984853325918	0.1682104193809394	0.18820810857879489	0.17620453797809976	0.14738379744492414	0.1759895997090548	0.1791641851338034	0.19504493576192095	0.1745304529222208	0.18064642733961156	0.1766395421267748	0.1791641851338034	0.18194634616898941	0.17432819842717817	0.18504571614222765	0.17642117627437204	0.16853505965765858	0.1594318957121479	0.16936375927744107	0.18115897366472666	0.178218935331392	0.1583928961604819	0.1657420057279717	0.14700361014679197	0.1331757160802095
G000016285	0.19256783715906933	0.0	0.19777456201755517	0.19592423374223866	0.17201063269440675	0.1872199929290459	0.17056741044833645	0.1914099891957548	0.17753085588215212	0.19419357474022803	0.1856493351152405	0.1868984853325918	0.1853458454503889	0.18787470702802278	0.1779876458729147	0.17577633459464348	0.16741512086339316	0.18303292269877824	0.1868984853325918	0.1875453682558158	0.18141890931546312	0.15706510564175813	0.1862667075262454	0.1872199929290459	0.18194634616898941	0.1892337414782933	0.19066487244686536	0.19217632301500154	0.17620453797809976	0.1914099891957548	0.1868984853325918	0.17868747139862406	0.17868747139862406	0.18194634616898941	0.1892337414782933	0.18275718116330775	0.17964937172669404	0.1929651387025768	0.19777456201755517
G000017145	0.0954658421772756	0.19777456201755517	0.0	0.14293111769689282	0.19336840416990753	0.17708157002767821	0.1853458454503889	0.14912033468418706	0.1853458454503889	0.18141890931546312	0.17940570024810665	0.16902928866424327	0.18141890931546312	0.17964937172669404	0.19637495390973458	0.1779876458729147	0.1937778183340616	0.18141890931546312	0.15862046467975388	0.18595626246076324	0.1822139479416005	0.1997626761158554	0.18387734439954817	0.1856493351152405	0.1853458454503889	0.18504571614222765	0.1671032977917043	0.17201063269440675	0.19179042750957842	0.1853458454503889	0.18014334273862942	0.16936375927744107	0.1753547194971926	0.18854567604447092	0.1822139479416005	0.17109979570532063	0.1735337594722245	0.16051111024952358	0.14286579764756924
G000018545	0.13026643577957087	0.19592423374223866	0.14293111769689282	0.0	0.18248420820599642	0.16388673278008625	0.1759895997090548	0.10484741415409304	0.1753547194971926	0.17314499360718627	0.17056741044833645	0.15717337629230466	0.16919601735379686	0.16458568961130549	0.1914099891957548	0.1647276191883803	0.1872199929290459	0.16936375927744107	0.14293111769689282	0.17109979570532052	0.17392810604572706	0.19419357474022803	0.170045114455863	0.17620453797809976	0.17164267391763133	0.17577633459464348	0.17238357846784702	0.16886356086232746	0.1872199929290459	0.17514631886777565	0.170045114455863	0.1560048505624465	0.16902928866424327	0.18248420820599642	0.17473420919524163	0.15370866714815	0.1606336444012858	0.14510516633420534	0.0939190867634726
G000092025	0.18387734439954817	0.17201063269440675	0.19336840416990753	0.18248420820599642	0.0	0.17238357846784702	0.1735337594722245	0.18854567604447092	0.1759895997090548	0.18387734439954817	0.17620453797809976	0.1759895997090548	0.17514631886777565	0.17295265378610025	0.1499464972963237	0.17201063269440675	0.17845219899794473	0.1745304529222208	0.17642117627437204	0.17556471639782867	0.16741512086339316	0.10719214264579524	0.1749394900626572	0.18359294389370384	0.17620453797809976	0.17940570024810665	0.178218935331392	0.18115897366472666	0.08384313535509358	0.17868747139862406	0.1657420057279717	0.16869882182710327	0.1753547194971926	0.0893564972516494	0.1798952390351396	0.1741274234048088	0.14887713915953016	0.17892478797833045	0.18331149045246664
G000092045	0.1721964736441023	0.1872199929290459	0.17708157002767821	0.16388673278008625	0.17238357846784702	0.0	0.1741274234048088	0.17333868898960092	0.1702181160447812	0.15276614352205242	0.1568498143377074	0.16138039306582797	0.15295213257335638	0.10288861183172604	0.18039372454331148	0.16430399060142298	0.18504571614222765	0.15548941969248709	0.1660387838683004	0.1721964736441023	0.16240828934925144	0.18504571614222765	0.13514466272197756	0.15409472671679736	0.1575007278903846	0.15978701113176663	0.1702181160447812	0.14524675629618478	0.17556471639782867	0.17642117627437204	0.16773050001195755	0.16240828934925144	0.17333868898960092	0.17314499360718627	0.15285898399425568	0.16530271536355856	0.16936375927744107	0.1698731914198408	0.1657420057279717
G000247475	0.18014334273862942	0.17056741044833645	0.1853458454503889	0.1759895997090548	0.1735337594722245	0.1741274234048088	0.0	0.18303292269877824	0.1386874316820228	0.1822139479416005	0.17556471639782867	0.16515781907252292	0.17642117627437204	0.16902928866424327	0.18039372454331148	0.142157045144373	0.1791641851338034	0.16725876991087307	0.170045114455863	0.16544837310472815	0.16679495035099368	0.17708157002767821	0.1759895997090548	0.17238357846784702	0.1749394900626572	0.1735337594722245	0.17892478797833045	0.1798952390351396	0.17276165040318747	0.17556471639782867	0.17333868898960092	0.1636120053164013	0.16773050001195755	0.17392810604572706	0.178218935331392	0.16633877667064	0.16307057220941157	0.1698731914198408	0.1822139479416005
G000261485	0.13908436529432866	0.1914099891957548	0.14912033468418706	0.10484741415409304	0.18854567604447092	0.17333868898960092	0.18303292269877824	0.0	0.18014334273862942	0.18474887246031824	0.17775829698374046	0.1650136761971147	0.1759895997090548	0.1749394900626572	0.19419357474022803	0.170045114455863	0.1892337414782933	0.1759895997090548	0.1536129770246426	0.18039372454331148	0.1766395421267748	0.18888751656182956	0.17514631886777565	0.1822139479416005	0.1798952390351396	0.18387734439954817	0.17868747139862406	0.1766395421267748	0.1853458454503889	0.18168135030397525	0.1753547194971926	0.16588999734008647	0.17620453797809976	0.18474887246031824	0.18248420820599642	0.16374902922527812	0.16970233337439367	0.15304559133900408	0.1312036644235529
G000300855	0.17892478797833045	0.17753085588215212	0.1853458454503889	0.1753547194971926	0.1759895997090548	0.1702181160447812	0.1386874316820228	0.18014334273862942	0.0	0.17845219899794473	0.17238357846784702	0.1682104193809394	0.1759895997090548	0.16853505965765858	0.1791641851338034	0.14582031807795348	0.17392810604572706	0.17074373172604929	0.16936375927744107	0.16125453564352632	0.1675723607907451	0.1759895997090548	0.1702181160447812	0.1703922100111015	0.17333868898960092	0.17708157002767821	0.1735337594722245	0.17620453797809976	0.17257196473927572	0.1669486945378944	0.17092118849713134	0.1647276191883803	0.1703922100111015	0.17295265378610025	0.1753547194971926	0.1626713117108778	0.16664205559826184	0.17074373172604929	0.18090149524762822
G000312665	0.18064642733961156	0.19419357474022803	0.18141890931546312	0.17314499360718627	0.18387734439954817	0.15276614352205242	0.1822139479416005	0.18474887246031824	0.17845219899794473	0.0	0.16002629303161564	0.17473420919524163	0.16163382842845864	0.15739118406291952	0.19029990407213082	0.17753085588215212	0.18854567604447092	0.16919601735379686	0.17432819842717817	0.18168135030397525	0.17964937172669404	0.18854567604447092	0.15772111250177923	0.14761439353430483	0.1703922100111015	0.17392810604572706	0.1856493351152405	0.15011467965647363	0.1892337414782933	0.18168135030397525	0.1779876458729147	0.1779876458729147	0.18115897366472666	0.1862667075262454	0.07202765962249347	0.17708157002767821	0.1853458454503889	0.1791641851338034	0.17845219899794473
G000330885	0.17257196473927572	0.1856493351152405	0.17940570024810665	0.17056741044833645	0.17620453797809976	0.1568498143377074	0.17556471639782867	0.17775829698374046	0.17238357846784702	0.16002629303161564	0.0	0.1499464972963237	0.07133873752210718	0.1559010022093007	0.18504571614222765	0.16664205559826184	0.1779876458729147	0.1298090947343027	0.1698731914198408	0.17940570024810665	0.1675723607907451	0.1875453682558158	0.1568498143377074	0.16416420643371987	0.11696012765005037	0.12066930779611984	0.17514631886777565	0.14692818350685266	0.17892478797833045	0.17868747139862406	0.1698731914198408	0.16788954902778874	0.17109979570532063	0.1753547194971926	0.15399771235160398	0.16773050001195755	0.17092118849713134	0.1721964736441023	0.16970233337439367
G000379605	0.16416420643371987	0.1868984853325918	0.16902928866424327	0.15717337629230466	0.1759895997090548	0.16138039306582797	0.16515781907252292	0.1650136761971147	0.1682104193809394	0.17473420919524163	0.1499464972963237	0.0	0.14427020069974994	0.16559480046046848	0.18359294389370384	0.15966813605239916	0.18303292269877824	0.1671032977917043	0.15304559133900408	0.17164267391763133	0.16201836329644703	0.1856493351152405	0.16919601735379686	0.17056741044833645	0.17164267391763133	0.1745304529222208	0.17620453797809976	0.1341672138352933	0.1773052906145417	0.1766395421267748	0.16138039306582797	0.14386178214366563	0.133832871278463	0.17092118849713134	0.1669486945378944	0.15419207796837275	0.1226880204037567	0.15508380039810532	0.1580549842767962
G000426285	0.17392810604572706	0.1853458454503889	0.18141890931546312	0.16919601735379686	0.17514631886777565	0.15295213257335638	0.17642117627437204	0.1759895997090548	0.1759895997090548	0.16163382842845864	0.07133873752210718	0.14427020069974994	0.0	0.1567427872110193	0.18359294389370384	0.16970233337439367	0.17892478797833045	0.12211464810846351	0.16970233337439367	0.1791641851338034	0.1698731914198408	0.1875453682558158	0.1580549842767962	0.16374902922527812	0.13026643577957087	0.136940282970076	0.1768596637421287	0.1393136991839965	0.178218935331392	0.17892478797833045	0.1721964736441023	0.16664205559826173	0.17473420919524163	0.1741274234048088	0.15508380039810532	0.16936375927744107	0.17373022502183444	0.17109979570532063	0.1721964736441023
G000517605	0.17295265378610025	0.18787470702802278	0.17964937172669404	0.16458568961130549	0.17295265378610025	0.10288861183172604	0.16902928866424327	0.1749394900626572	0.16853505965765858	0.15739118406291952	0.1559010022093007	0.16559480046046848	0.1567427872110193	0.0	0.18039372454331148	0.16138039306582797	0.1856493351152405	0.15140915690968237	0.16588999734008647	0.17201063269440675	0.15884990402772292	0.18168135030397525	0.1319495399272197	0.14944789663495472	0.15717337629230466	0.1561090857562657	0.17074373172604929	0.13937132309611255	0.1773052906145417	0.1741274234048088	0.1657420057279717	0.16253948943952423	0.1698731914198408	0.17257196473927572	0.15140915690968237	0.16253948943952423	0.16388673278008614	0.16444448255721478	0.16664205559826184
G000518585	0.1868984853325918	0.1779876458729147	0.19637495390973458	0.1914099891957548	0.1499464972963237	0.18039372454331148	0.18039372454331148	0.19419357474022803	0.1791641851338034	0.19029990407213082	0.18504571614222765	0.18359294389370384	0.18359294389370384	0.18039372454331148	0.0	0.17708157002767821	0.17964937172669404	0.18248420820599642	0.1822139479416005	0.18331149045246675	0.17642117627437204	0.14042906250930987	0.17940570024810665	0.1853458454503889	0.18595626246076324	0.18854567604447092	0.18168135030397525	0.18993981231191792	0.15267360909805483	0.18303292269877824	0.17868747139862406	0.17642117627437204	0.18275718116330775	0.15062534357883506	0.18416475533750087	0.1862667075262454	0.18064642733961156	0.18387734439954817	0.1914099891957548
